iter	Passed	Remaining
0	63	63921
1	122	61153
2	185	61555
3	246	61485
4	309	61529
5	378	62672
6	443	62935
7	501	62236
8	566	62360
9	624	61794
10	688	61876
11	752	61972
12	812	61694
13	874	61560
14	935	61460
15	996	61259
16	1057	61124
17	1122	61247
18	1187	61330
19	1260	61781
20	1324	61731
21	1388	61709
22	1445	61421
23	1505	61209
24	1569	61199
25	1634	61239
26	1698	61225
27	1752	60853
28	1817	60851
29	1877	60705
30	1938	60586
31	2001	60536
32	2066	60546
33	2124	60360
34	2185	60245
35	2250	60269
36	2312	60197
37	2373	60078
38	2433	59956
39	2494	59863
40	2563	59958
41	2623	59833
42	2680	59665
43	2743	59601
44	2794	59304
45	2845	59006
46	2892	58642
47	2943	58377
48	2991	58056
49	3042	57808
50	3102	57721
51	3157	57558
52	3296	58900
53	3373	59100
54	3425	58860
55	3487	58782
56	3544	58638
57	3591	58323
58	3639	58047
59	3688	57789
60	3741	57601
61	3790	57340
62	3837	57074
63	3887	56849
64	3939	56671
65	3988	56444
66	4050	56399
67	4111	56348
68	4180	56401
69	4237	56295
70	4302	56296
71	4363	56235
72	4423	56173
73	4487	56157
74	4551	56140
75	4618	56147
76	4679	56088
77	4743	56072
78	4804	56007
79	4866	55965
80	4927	55901
81	4984	55804
82	5032	55601
83	5082	55425
84	5133	55262
85	5185	55110
86	5230	54889
87	5280	54724
88	5328	54546
89	5377	54374
90	5428	54224
91	5478	54065
92	5528	53914
93	5577	53759
94	5626	53601
95	5677	53464
96	5726	53310
97	5777	53174
98	5826	53031
99	5880	52925
100	5945	52920
101	6007	52888
102	6066	52828
103	6128	52796
104	6190	52770
105	6254	52750
106	6319	52739
107	6377	52670
108	6441	52654
109	6512	52689
110	6581	52708
111	6652	52741
112	6705	52635
113	6764	52575
114	6814	52444
115	6868	52340
116	6916	52201
117	6965	52063
118	7017	51950
119	7067	51831
120	7117	51703
121	7166	51578
122	7219	51472
123	7271	51369
124	7321	51251
125	7372	51135
126	7419	51001
127	7470	50895
128	7546	50952
129	7604	50893
130	7670	50883
131	7733	50853
132	7796	50822
133	7855	50769
134	7918	50736
135	7987	50747
136	8060	50774
137	8131	50792
138	8200	50794
139	8360	51359
140	8449	51473
141	8504	51384
142	8561	51308
143	8612	51196
144	8661	51075
145	8711	50957
146	8762	50844
147	8812	50734
148	8863	50621
149	8911	50499
150	8961	50388
151	9011	50275
152	9061	50165
153	9127	50139
154	9189	50096
155	9252	50058
156	9313	50006
157	9375	49965
158	9435	49907
159	9496	49854
160	9559	49815
161	9614	49732
162	9676	49687
163	9733	49617
164	9787	49528
165	9836	49421
166	9886	49314
167	9938	49219
168	9989	49118
169	10038	49013
170	10088	48910
171	10139	48812
172	10209	48804
173	10264	48728
174	10323	48669
175	10370	48553
176	10420	48454
177	10469	48346
178	10522	48261
179	10570	48155
180	10618	48047
181	10666	47939
182	10716	47842
183	10766	47748
184	10815	47644
185	10869	47568
186	10929	47515
187	10984	47445
188	11046	47398
189	11103	47335
190	11162	47280
191	11224	47237
192	11278	47158
193	11336	47097
194	11397	47050
195	11457	46997
196	11515	46937
197	11564	46840
198	11613	46746
199	11661	46647
200	11712	46559
201	11765	46478
202	11814	46386
203	11862	46288
204	11912	46196
205	11963	46110
206	12010	46013
207	12060	45923
208	12109	45830
209	12160	45745
210	12210	45659
211	12264	45585
212	12328	45550
213	12390	45507
214	12444	45435
215	12515	45426
216	12573	45368
217	12634	45320
218	12692	45262
219	12756	45229
220	12815	45172
221	12859	45067
222	12907	44973
223	12989	44998
224	13129	45225
225	13195	45190
226	13249	45117
227	13304	45047
228	13365	44998
229	13419	44926
230	13485	44893
231	13557	44878
232	13621	44839
233	13675	44765
234	13734	44711
235	13798	44668
236	13868	44647
237	13922	44574
238	13979	44512
239	14034	44441
240	14085	44360
241	14134	44271
242	14182	44183
243	14230	44092
244	14284	44018
